link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Максимальный объем памяти,Тип памяти,Поддержка частот памяти,Количество каналов памяти,Пропускная способность памяти,Поддержка памяти ECC,Версия PCI Express,Количество каналов PCI Express,Конфигурация PCI Express,Встроенное графическое ядро,Вес упаковки (ед),Гарантия,Модель графического ядра,Частота графического ядра,Габариты упаковки (ед) ДхШхВ,Максимальный объем видеопамяти,Поддержка WiDi,Особенности
https://www.citilink.ru/product/processor-intel-pentium-dual-core-g4400-lga-1151-oem-384750/,5,4,"Процессор Intel Pentium Dual-Core G4400, LGA 1151, OEM",1 890₽,INTEL,64 ГБ,DDR4/ DDR3L,DDR4 1866/2133 МГц DDR3L 1333/1600 МГц,2,34.1 GB/s,поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",есть,0.029 кг,12 мес.,Intel HD Graphics 510,350 МГц и 1000 МГц Turbo,,64 ГБ,поддерживается,
https://www.citilink.ru/product/processor-intel-s-core-i9-10920x-soc-2066-3-5ghz-oem-1795645/,Код товара: 1795645,,"Процессор Intel Core i9 10920X, LGA 2066, OEM",70 390₽,INTEL,256 ГБ,DDR4,2933 МГц,4,,не поддерживается,PCI Express 3.0,48,,отсутствует,,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-pentium-dual-core-g4400-soc-1151-3-3ghz-hdg510-oem-1723042/,Код товара: 1723042,,"Процессор Intel Pentium Dual-Core G4400, LGA 1151, OEM",1 890₽,INTEL,64 ГБ,DDR4/ DDR3L,DDR4 1866/2133 МГц DDR3L 1333/1600 МГц,2,34.1 GB/s,поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",есть,,12 мес.,Intel HD Graphics 510,350 МГц и 1000 МГц Turbo,,64 ГБ,поддерживается,
https://www.citilink.ru/product/processor-amd-s-ryzen-7-3800x-am4-100-100000025box-3-9ghz-box-1804878/,Код товара: 1804878,,"Процессор AMD Ryzen 7 3800X, SocketAM4, BOX [100-100000025box]",22 990₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 4.0,16,,отсутствует,1.91 кг,12 мес.,,,0.14x0.14x0.14 м,,,
https://www.citilink.ru/product/processor-intel-s-core-i9-10900x-soc-2066-3-7ghz-oem-1795650/,Код товара: 1795650,,"Процессор Intel Core i9 10900X, LGA 2066, OEM",56 690₽,INTEL,256 ГБ,DDR4,2933 МГц,4,,не поддерживается,PCI Express 3.0,48,,отсутствует,0.048 кг,12 мес.,,,0.038x0.038x0.006 м,,,
https://www.citilink.ru/product/processor-amd-ryzen-9-3950x-am4-100-000000051-3-5ghz-oem-1619339/,Код товара: 1619339,,"Процессор AMD Ryzen 9 3950X, SocketAM4, OEM [100-000000051]",41 990₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 4.0,16,,отсутствует,0.005 кг,12 мес.,,,0.038x0.038x0.009 м,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-10500-soc-1200-3-1ghz-iuhdg630-oem-1723036/,Код товара: 1723036,,"Процессор Intel Core i5 10500, LGA 1200, OEM",17 790₽,INTEL,128 ГБ,DDR4,2666 МГц,2,41.6 GB/s,не поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",есть,0.024 кг,12 мес.,Intel UHD Graphics 630,350 МГц и 1150 МГц Turbo,,64 ГБ,,
https://www.citilink.ru/product/processor-amd-s-ryzen-9-7950x-socketam5-100-100000514wof-4-5ghz-box-1869669/,Код товара: 1869669,,"Процессор AMD Ryzen 9 7950X, SocketAM5, BOX (без кулера) [100-100000514wof]",58 990₽,AMD,128 ГБ,DDR5,5200/3600 МГц,2,,поддерживается,PCI Express 5.0,24,,есть,0.5 кг,12 мес.,AMD Radeon,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-9-5900x-am4-100-100000061wof-3-7ghz-box-w-o-cool-1938580/,Код товара: 1938580,,"Процессор AMD Ryzen 9 5900X, SocketAM4, BOX (без кулера) [100-100000061wof]",29 990₽,AMD,,DDR4,3200 МГц,2,,не поддерживается,PCI Express 4.0,,,отсутствует,1.27 кг,12 мес.,,,0.13x0.075x0.135 м,,,
https://www.citilink.ru/product/processor-intel-s-core-i9-10940x-soc-2066-3-3ghz-oem-1795647/,5,1,"Процессор Intel Core i9 10940X, LGA 2066, OEM",79 790₽,INTEL,256 ГБ,DDR4,2933 МГц,4,,не поддерживается,PCI Express 3.0,48,,отсутствует,0.055 кг,12 мес.,,,0.05x0.045x0.005 м,,,
