Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,19.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.87,36800.0,0.0,0.0,0.0,0.0
ноутбук msi modern 15 b12hw-002xru,0.0,0.0,55,5,1,0,12.0,4.8,0.0,10.0,42,4.0,1.0,0,0.0,0.0,12.0,0,0,0.0,3.0,0.0,4,0.0,1.75,59990.0,0.0,2.0,0.0,0.0
ноутбук игровой msi raider ge66 12ugs-466ru,0.0,0.0,0,5,0,0,0.0,4.1,0.0,0.0,0,17.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,235990.0,0.0,0.0,0.0,0.0
ноутбук hp 250 g8,0.0,0.0,0,5,0,0,0.0,4.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,28240.0,0.0,0.0,0.0,0.0
ноутбук игровой msi pulse gl76 12udk-282xru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,15.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,89990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi creator z16 a12uet-064ru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,144990.0,0.0,0.0,0.0,0.0
ноутбук rombica mybook eclipse,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,8.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,54990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi raider ge77hx 12uhs-232ru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,9.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,2.9,289990.0,0.0,0.0,0.0,0.0
ноутбук chuwi herobook pro,0.0,0.0,0,5,0,0,0.0,4.9,0.0,0.0,0,9.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,22990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi pulse gl76 12udk-281xru,0.0,0.0,0,5,0,0,0.0,4.7,0.0,0.0,0,6.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,109990.0,0.0,0.0,0.0,0.0
ноутбук игровой xiaomi redmibook redmi g,0.0,0.0,0,5,1,0,12.0,1.0,0.0,0.0,0,8.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,119990.0,1.0,0.0,0.0,0.0
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,4.9,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,60900.0,0.0,0.0,0.0,0.0
ноутбук hp 15-dw3170nia,0.0,0.0,21,5,1,0,12.0,4.7,1.0,4.0,70,9.0,1.0,0,0.0,0.0,8.0,0,5,0.0,3.0,0.0,4,8.0,1.75,54050.0,0.0,4.0,0.0,0.0
ноутбук acer aspire 1 a115-32-p123,0.0,0.0,0,5,0,0,0.0,2.0,0.0,0.0,0,7.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,38080.0,0.0,0.0,0.0,0.0
ноутбук игровой msi gf63 thin 11uc-219xru,0.0,0.0,29,5,1,0,12.0,5.0,1.0,6.0,39,4.0,1.0,0,0.0,0.0,12.0,0,0,0.0,3.0,0.0,4,0.0,1.86,75990.0,1.0,6.0,0.0,0.0
ноутбук игровой asus vivobook a571gt-bq937,0.0,0.0,0,5,0,0,12.0,4.0,0.0,0.0,0,10.0,1.0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0,0.0,2.14,63990.0,0.0,0.0,0.0,0.0
