Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
видеокарта gigabyte amd radeon rx 6400 gv-r64eagle-4gd 4гб eagle,18850.0,0.0,36.0,0.0,192.0,2.0,0.0,350.0
 rtx 4090 gv-n4090gaming-24gd 24гб gddr6x,187490.0,0.0,36.0,0.0,340.0,4.0,0.0,1000.0
 gtx 1050ti ,18120.0,0.0,36.0,0.0,182.0,3.0,0.0,300.0
 gt 1030 gv-n1030sl-2gl 2гб gddr5,9430.0,0.0,36.0,0.0,175.0,2.0,0.0,300.0
 rx 6650xt dual-rx6650xt-o8g 8гб gddr6,36240.0,0.0,36.0,0.0,243.0,0.0,1.0,650.0
 rtx 3060ti dual-rtx3060ti-8g-mini-v2 8гб gddr6,41490.0,0.0,36.0,0.0,200.0,0.0,0.0,750.0
 rtx 4070ti rtx 4070 ti ventus 3x 12g oc 12гб gddr6x,92170.0,0.0,36.0,0.0,308.0,4.0,1.0,700.0
‌,92170.0,0.0,36.0,0.0,144.0,3.0,0.0,300.0
 rtx 3060ti rtx 3060 ti aero itx 8g oc lhr 8гб gddr6,43570.0,0.0,6.0,0.0,172.0,0.0,1.0,600.0
 gtx 1650 dual-gtx1650-o4g 4гб gddr5,19900.0,0.0,36.0,0.0,204.0,0.0,0.0,0.0
 gtx 1650 gtx 1650 ventus xs 4g 4гб gddr5,20530.0,0.0,36.0,0.0,177.0,3.0,0.0,300.0
 rtx 4070 rtx4070 dual oc 12гб gddr6x,68080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 gt 1030 pa-gt1030 2gd4 2гб ddr4,8700.0,0.0,36.0,0.0,135.0,2.0,0.0,300.0
 gtx 1050ti cerberus-gtx1050ti-a4g 4гб gddr5,19790.0,0.0,36.0,0.0,203.0,3.0,0.0,300.0
 gtx 1650 ph-gtx1650-o4gd6-p-v2 4гб gddr6,18430.0,0.0,36.0,0.0,174.0,3.0,1.0,300.0
 rx 6700xt dual-rx6700xt-o12g 12гб gddr6,47130.0,0.0,36.0,0.0,295.0,4.0,1.0,650.0
 rtx 4070ti gv-n407tgaming-12gd 12гб gddr6x,95310.0,0.0,36.0,0.0,336.0,4.0,0.0,750.0
 rx 6500xt axrx 6500xt 4gbd6-dh/oc 4гб gddr6,18850.0,0.0,12.0,0.0,191.0,0.0,1.0,400.0
 amd radeon rx 6700xt rx 6700 xt mech 2x 12g 12гб gddr6,58650.0,0.0,36.0,0.0,247.0,4.0,0.0,650.0
‌,58650.0,0.0,36.0,0.0,282.0,4.0,1.0,750.0
 gtx 1650 gv-n1656d6-4gd 4гб gddr6,18430.0,0.0,36.0,0.0,172.0,3.0,0.0,300.0
 rtx 4060ti rtx 4060 ti ventus 3x 8g oc 8гб ventus 3x,48180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 gt 1030 gt1030-sl-2g-brk 2гб gddr5,9530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
