link,Рейтинг,Количество отзывов,Название,Цена,Страна,Гарантия,Семейство,Сокет,Ядро,Количество ядер,Количество потоков,Тактовая частота,Максимальная тактовая частота,Техпроцесс,Тип поставки,Объем кэша L2,Объем кэша L3,Интегрированное графическое ядро,Графическое ядро,Частота графического ядра,Максимальная частота графического ядра,Тип поддерживаемой памяти,Поддерживаемые стандарты памяти,Количество каналов памяти,Максимальный объем памяти,Максимальная пропускная способность памяти,Поддерживаемые инструкции,Тепловыделение,Максимальная рабочая температура,Высота,Ширина,Максимальный объем видеопамяти,Объем кэша L1,Глубина,Разблокированный множитель,Поддержка памяти ECC,Коэффициент умножения,Технологии,Вес,Дополнительная информация,Unnamed: 41,Кулер,Минимальное напряжение питания,Максимальное напряжение питания
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i7-10700-s1200-2-9g-bx8070110700-s-rh6y/,,,Процессор Intel Core I7-10700 S1200 2.9G (BX8070110700 S RH6Y),24 499 р.,Вьетнам,1 год,Intel Core i7,LGA1200,,8,16,2.9 ГГц,4.8 ГГц,14 нм,BOX,16 МБ,,Есть,Intel UHD Graphics 630,350 МГц,1200 МГц,DDR4,PC4-23400 (DDR4 2933 МГц),2,128 ГБ,45.8 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i3-10100f-3-6ghz-1200-box/,,,Процессор Intel Core i3 10100F 3.6GHz 1200 Box,6 299 р.,Китай,1 год,Intel Core i3,LGA1200,,4,8,3.6 ГГц,4.3 ГГц,14 нм,BOX,6 МБ,,,,,,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-9400f-2-9ghz-9mb-1151-box/,,,Процессор Intel Core i5 9400F 2.9GHz 9MB 1151 Box,0,Китай,1 год,Intel Core i5,LGA1151,,6,6,2.9 ГГц,4.1 ГГц,14 нм,BOX,9 МБ,,,,,,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",65 Вт,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-10400f-2-9ghz-12mb-1200-box/,,,Процессор Intel Core i5 10400F 2.9GHz 12MB 1200 Box,10 799 р.,Китай,1 год,Intel Core i5,LGA1200,,6,12,2.9 ГГц,4.3 ГГц,14 нм,BOX,12 МБ,,,,,,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-10600k-4-1ghz-12m-1200-no-fan-box/,,,Процессор Intel Core i5 10600K 4.1GHz 12M 1200 No Fan Box,19 199 р.,Китай,1 год,Intel Core i5,LGA1200,Comet Lake,6,12,4.1 ГГц,4.8 ГГц,14 нм,OEM,1.5 МБ,12 МБ,Есть,Intel UHD Graphics 630,350 МГц,1200 МГц,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",125 Вт,100 ˚С,37.5 мм,37.5 мм,64 ГБ,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-10600kf-4-1ghz-12m-1200-no-fan-box/,,,Процессор Intel Core i5 10600KF 4.1GHz 12M 1200 No Fan Box,14 899 р.,Китай,1 год,Intel Core i5,LGA1200,,6,12,4.1 ГГц,4.8 ГГц,14 нм,OEM,12 МБ,,,,,,DDR4,PC4-21300 (DDR4 2666 МГц),2,128 ГБ,41.6 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-11400-2-6ghz-box/,,,Процессор Intel Core i5 11400 2.6GHz Box,14 999 р.,Китай,1 год,Intel Core i5,LGA1200,,6,12,2.6 ГГц,4.4 ГГц,14 нм,BOX,12 МБ,,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-11400f-4-4ghz-box/,,,Процессор Intel Core i5-11400F 4.4GHz Box,12 599 р.,Китай,1 год,Intel Core i5,LGA1200,,6,12,2.6 ГГц,4.4 ГГц,14 нм,BOX,12 МБ,,,,,,DDR4,PC4-25600 (DDR4 3200 МГц),2,128 ГБ,50 Гбит/с,"SSE4.1, SSE4.2, AES",,100 ˚С,37.5 мм,37.5 мм,,,,,,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-i5-12600k-4-9ghz-box/,,,Процессор Intel Core i5 12600K 4.9GHz Box,23 999 р.,Китай,1 год,Intel Core i5,LGA1700,Alder Lake,10,16,2.8 ГГц,4.9 ГГц,10 нм,BOX,9.5 МБ,20 МБ,Есть,Intel UHD Graphics 770,300 МГц,1450 МГц,"DDR5, DDR4","PC5-38400 (DDR5 4800 МГц), PC4-25600 (DDR4 3200 МГц)",2,128 ГБ,76.8 Гбит/с,AES,150 Вт,100 ˚С,37.5 мм,45 мм,,,,,Есть,,,,,,,,
https://www.eldorado.ru/cat/detail/protsessor-intel-core-i5-12400-oem-cm8071504555317s-rl4v/,,,Процессор Intel Core i5 12600K 4.9GHz Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
