Название,Рейтинг,Количество отзывов,Цена,,Страна,Гарантия,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Производитель чипсета,Модель чипсета,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип видеопамяти,Тип оптического привода,LAN-адаптер,DVI,HDMI,USB 2.0,USB 3.0,LAN разъем (RJ-45),Line-In,Фронтальный разъем для наушников/микрофона 3.5мм,Подсветка корпуса,Размещение,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,Wi-Fi,Стандарт Wi-Fi,Объем первого накопителя,Объем второго накопителя,Игровой системный блок,Объем видеопамяти,DisplayPort,Типоразмер корпуса,Материал корпуса,Интерфейс подключения,USB 3.0 (Type-C),Разъем для наушников,Кабель питания,Разъем для наушников/микрофона,Bluetooth-адаптер,Картридер,VGA (D-Sub),USB 3.1,Разъем для микрофона,USB 3.2,Дополнительная информация,Фронтальный разъем для наушников 3.5мм,USB,Кэш L2,Количество ядер графического процессора,Thunderbolt/USB 4,PS/2,USB 3.1 (Type-C),Фронтальный разъем для микрофона 3.5мм,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink
Игровой компьютер Robotcomp Анаконда 3.0 V2 Plus White,0.0,0.0,158 990 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,750 Вт,49 см,23 см,39 см,10 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 White,0.0,0.0,153 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,750 Вт,49 см,23 см,39 см,10 кг,Белый,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 Plus White,0.0,0.0,164 290 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,750 Вт,49 см,23 см,39 см,10 кг,Белый,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 Pink,0.0,0.0,143 890 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,750 Вт,45 см,21 см,46 см,10 кг,,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 Plus Pink,0.0,0.0,155 190 р.,,Россия,3 года,FreeDOS ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,750 Вт,45 см,21 см,46 см,10 кг,,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V2 Plus Pink,0.0,0.0,158 990 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,64 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,750 Вт,45 см,21 см,46 см,10 кг,,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 Pink,0.0,0.0,153 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,750 Вт,45 см,21 см,46 см,10 кг,,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Анаконда 3.0 V3 Plus Pink,0.0,0.0,164 290 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,,3.7 ГГц ,4.9 ГГц,10 ,25 МБ,Intel,B660M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1.92 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,750 Вт,45 см,21 см,46 см,10 кг,,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0,0.0,0.0,31 490 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 Plus,0.0,0.0,37 190 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V2,0.0,0.0,35 290 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V2 Plus,0.0,0.0,40 990 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Мини 2.0 V3,0.0,0.0,40 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Power,0.0,0.0,31 690 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Plus Power,0.0,0.0,37 390 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V2 Power,0.0,0.0,35 490 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V2 Plus Power,0.0,0.0,41 290 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V3 Power,0.0,0.0,40 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор V3 Plus Power,0.0,0.0,46 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор White Power,0.0,0.0,31 690 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор White V2 Power,0.0,0.0,35 490 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор White V2 Plus Power,0.0,0.0,41 290 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор White V3 Power,0.0,0.0,40 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор White V3 Plus Power,0.0,0.0,46 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Pink Power,0.0,0.0,31 690 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Pink V2 Power,0.0,0.0,35 490 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Pink V2 Plus Power,0.0,0.0,41 290 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Pink V3 Power,0.0,0.0,40 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Аллигатор Pink V3 Plus Power,0.0,0.0,46 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 White,0.0,0.0,79 590 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 Plus White,0.0,0.0,85 290 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V2 White,0.0,0.0,83 490 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 White,0.0,0.0,88 790 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 3.0 V3 Plus White,0.0,0.0,94 490 р.,,Россия,3 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер VECOM MARK.001 (I5-11400F/16GB/SSD512GB/RTX3060/NOOS),5.0,1.0,89 999 р.,,Китай,1 год,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3060,GDDR6,,1000/100/10 Мбит/с,,1 шт.,2 шт.,6 шт.,1 шт.,,Есть,,Вертикальное,750 Вт,51.4 см,27.7 см,52.3 см,10 кг,Черный,,,,,Есть ,12 ГБ,,Midi-Tower ,,,,,,,,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер VECOM MARK.002 (I5-11400F/32GB/SSD512GB/RTX3060/NOOS),5.0,2.0,92 999 р.,,Китай,1 год,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,,,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3060,GDDR6,,1000/100/10 Мбит/с,,1 шт.,2 шт.,6 шт.,1 шт.,,Есть,,Вертикальное,750 Вт,51.4 см,27.7 см,52.3 см,10 кг,Черный,,,,,Есть ,12 ГБ,,Midi-Tower ,,,,,,,,,Есть,,,,,,,,,,,,,,,,
Компьютер MUST AS36001060622,5.0,1.0,89 999 р.,,Россия,6 месяцев,Нет ,AMD ,Ryzen 5 3600,1.82 ГГц ,3.6 ГГц,6 ,32 МБ,,,16 ГБ ,32 ГБ,DDR4,3200 МГц,6 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3060,GDDR6,,1000/100/10 Мбит/с,,2 шт.,4 шт.,4 шт.,1 шт.,1,,,Вертикальное,650 Вт,44 см,21 см,36 см,9 кг,Черный,,,,,,12 ГБ,2,Midi-Tower ,,,,,,,,,,,,,,Есть,,,,,,,,,,,
Игровой компьютер Raskat Strike 520 103209 (i5-10400/16GB/SSD512GB/RTX3070/NOOS),5.0,2.0,107 999 р.,,Россия,3 года,Нет ,Intel ,Core i5-10400,2.9 ГГц ,4.3 ГГц,6 ,12 МБ,,,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,GDDR6,,1000/100/10 Мбит/с,,2 шт.,,4 шт.,1 шт.,,,,,,24.9 см,12.6 см,26.5 см,4.84 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,8 ГБ,3,,,,4 шт.,Есть,,,Есть,,,,,,,,8 шт.,,,,,,,,,,
"Игровой компьютер MSI MEG Aegis Ti5, i7K RTX 3080 Ti/64GB/2TB HDD+2TB",5.0,1.0,299 999 р.,,Китай,1 год,,Intel ,,3.6 ГГц ,5 ГГц,12 ,,,,64 ГБ ,128 ГБ,DDR5,4800 МГц,4 шт.,HDD+SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080 Ti,GDDR6X,,1000/100/10 Мбит/с,,2 шт.,2 шт.,5 шт.,2 шт.,,Есть,Есть,Вертикальное,,51.2 см,55.1 см,24 см,15 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",2 ТБ,,Есть ,12 ГБ,3,,,,2 шт.,,,,Есть,,,,,,,,9 шт.,,,,,,,,,,
Компьютер Acer PRedator PO3-630 (DG.E2CMC.003),5.0,2.0,119 999 р.,,Китай,1 год,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,2512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,GDDR6,,1000/100/10 Мбит/с,,1 шт.,,3 шт.,2 шт.,3,Есть,Есть,Вертикальное,500 Вт,39.2 см,17.5 см,38.6 см,10 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",2 ТБ,512 ГБ,,8 ГБ,2,,,,,,,,Есть,,,,,,,,6 шт.,,,,,,,,,,
Компьютер Raskat Strike 520 i5-10400F/16G/512G/RTX3060/NoOS (107290),5.0,4.0,79 999 р.,,Россия,3 года,Нет ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,6 ,12 МБ,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,5 шт.,1 шт.,3,Есть,,,550 Вт,47.9 см,21 см,44.2 см,12 кг,Черный,,,,,,12 ГБ,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,
Компьютер MUST MBM10400480111122,5.0,1.0,32 999 р.,,Россия,6 месяцев,Нет ,Intel ,Core i5-10400,2.9 ГГц ,4.3 ГГц,6 ,,,,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,,1 шт.,3 шт.,4 шт.,1 шт.,,,,Вертикальное,650 Вт,35.6 см,10.2 см,33.8 см,,Черный,,,,,,,,,,,1 шт.,Есть,,,,SD,Есть,,,,,Есть,,12 МБ,,,,,,,,,
Компьютер Apple Mac mini M2 8 core/10 core/8GB/256GB (MMFJ3),0.0,0.0,74 899 р.,,Китай,1 год,MacOS ,Apple ,Apple M2,,,8 ,,,,8 ГБ ,,,,,SSD ,256 ГБ ,Интегрированная ,Apple ,Apple M2,,Нет ,1000/100/10 Мбит/с,,1 шт.,,2 шт.,1 шт.,,,,,150 Вт,3.58 см,19.7 см,19.7 см,1.18 кг,Серебристый,Есть ,IEEE 802.11ax,,,,,,Nettop ,Алюминий,,,Есть,Есть,,Есть,,,,,,,,,,10,2 шт.,,,,,,,
Компьютер Apple Mac mini M2 8 core/10 core/8GB/512GB (MMFK3),0.0,0.0,88 999 р.,,Китай,1 год,MacOS ,Apple ,Apple M2,,,8 ,,,,8 ГБ ,,,,,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2,,Нет ,1000/100/10 Мбит/с,,1 шт.,,2 шт.,1 шт.,,,,,150 Вт,3.58 см,19.7 см,19.7 см,1.18 кг,Серебристый,Есть ,IEEE 802.11ax,,,,,,Nettop ,Алюминий,,,Есть,Есть,,Есть,,,,,,,,,,10,2 шт.,,,,,,,
Игровой компьютер Raskat Strike 520 103211 (i5-10400/16GB/SSD512GB/RTX1660Ti/NOOS),5.0,3.0,59 999 р.,,Россия,3 года,Нет ,Intel ,Core i5-10400,2.9 ГГц ,4.3 ГГц,6 ,12 МБ,,,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 Ti,GDDR6,,1000/100/10 Мбит/с,,2 шт.,,4 шт.,1 шт.,,,,,,24.9 см,12.6 см,26.5 см,4.84 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,6 ГБ,3,,,,4 шт.,Есть,,,Есть,,,,,,,,8 шт.,,,,,,,,,,
Игровой компьютер ASUS ROG Strix Special G10DK-A3400G053T,4.0,4.0,79 999 р.,,Китай,2 года,Нет ,AMD ,Ryzen 5 3400G,3.7 ГГц ,4.2 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,4 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,,1000/100/10 Мбит/с,Есть,1 шт.,,6 шт.,1 шт.,,Есть,,,550 Вт,42.8 см,18 см,43 см,8 кг,Серый,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,12 ГБ,,Midi-Tower ,,,,Есть,,,Есть,,Есть,2 шт.,,,,,,,,,Есть,,,,,,
Игровой компьютер MSI MAG Infinite 11TC-1435RU,5.0,3.0,99 699 р.,,Китай,2 года,Windows 11 Домашняя х64 ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,,1000/100/10 Мбит/с,,2 шт.,5 шт.,,1 шт.,1,,,,500 Вт,48.8 см,21 см,45 см,10 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",,,Есть ,12 ГБ,4,,,,,Есть,,,Есть,,Есть,3 шт.,Есть,,,Есть,,,,,Есть,1 шт.,Есть,,,,
Компьютер Raskat Standart 300 i3-10100/16GB/256GB+1TB/NoOS (105902),5.0,9.0,30 999 р.,,Россия,3 года,Нет ,Intel ,Core i3-10100,3.6 ГГц ,4.3 ГГц,4 ,,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.256 ТБ ,Интегрированная ,Intel ,Intel UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,1 шт.,3 шт.,3 шт.,1 шт.,3,Есть,,,450 Вт,30 см,34 см,18.3 см,4.25 кг,Черный,,,1 ТБ,256 ГБ,,,,Midi-Tower ,,,,,,,,,Есть,,,,,,6 шт.,6 МБ,,,,,,,,,
Игровой компьютер ASUS ROG Strix G10DK-A3400G058W (90PF02S1-M003E0),5.0,2.0,76 999 р.,,Тайвань,1 год,Windows 11 Домашняя ,AMD ,Ryzen 5 3400G,3.7 ГГц ,4.2 ГГц,4 ,,,,16 ГБ ,64 ГБ,DDR4,2400 МГц,4 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 Ti,GDDR6,,1000/100/10 Мбит/с,Есть,4 шт.,,4 шт.,1 шт.,,Есть,,,550 Вт,42.8 см,18 см,43 см,8 кг,Серый,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,6 ГБ,3,,,,,Есть,,,Есть,,Есть,4 шт.,Есть,,Коррекция фактора мощности (PFC),,,6 МБ,,,Есть,,,,,,
Игровой компьютер HYPERPC Epix Pure,1.0,3.0,52 999 р.,,Россия,1 год,Нет ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,240 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR6,,,,1 шт.,1 шт.,,1 шт.,,Есть,,,500 Вт,36 см,18 см,38 см,15 кг,Черный,,,,,Есть ,4 ГБ,2,Midi-Tower ,,,,Есть,,,,,,1 шт.,Есть,,,,,,,,Есть,,,,,,
Компьютер Raskat Standart 300 102315 (i3-10100/16GB/SSD512GB/NOOS),5.0,3.0,29 999 р.,,Россия,3 года,Нет ,Intel ,Core i3-10100,3.6 ГГц ,4.3 ГГц,4 ,,,,8 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,,1 шт.,4 шт.,2 шт.,1 шт.,,Есть,,,,43.1 см,22.5 см,40 см,9.8 кг,Белый,,,,,,,,,,,,,,,,,Есть,,,,,,6 шт.,6 МБ,,,,,,,,,
Игровой компьютер Thunderobot BW IV Ultra 7 i7-12700/32G/SSD1T/RTX3080TI/WIN11,5.0,7.0,199 999 р.,,Китай,1 год,Windows 11 ,Intel ,Core i7-12700,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,,,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080 Ti,GDDR6X,,1000/100/10 Мбит/с,,2 шт.,3 шт.,6 шт.,1 шт.,1,Есть,Есть,,1000 Вт,51 см,21 см,52 см,14.3 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,Есть ,12 ГБ,4,Full-Desktop ,,,,,,,Есть,,,,,,,,9 шт.,,,,,,,,,,
Игровой компьютер Thunderobot Black Warrior V Shark 9 (JT00EH00FRU),0.0,0.0,399 999 р.,,Китай,1 год,Windows 11 ,Intel ,Core i9-13900K,3 ГГц ,5.8 ГГц,24 ,36 МБ,,,32 ГБ ,128 ГБ,DDR5,4800 МГц,4 шт.,HDD+SSD ,5 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4090,GDDR6X,,1000/100/10 Мбит/с,,1 шт.,1 шт.,8 шт.,1 шт.,,Есть,,Вертикальное,1650 Вт,53.8 см,23 см,59.7 см,19.2 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",4 ТБ,1 ТБ,Есть ,24 ГБ,3,,,,2 шт.,,,,Есть,,,,,,,,,,,,,,,,,,
Игровой компьютер Lenovo Legion T5 26AMR5 (90RC018JRS),5.0,7.0,139 999 р.,,Китай,1 год,Windows 11 Домашняя х64 ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,,,16 ГБ ,128 ГБ,DDR4,3200 МГц,4 шт.,SSD ,1 ТБ ,Дискретная ,AMD ,Radeon RX 6800XT,GDDR6,,1000/100/10 Мбит/с,,,2 шт.,4 шт.,1 шт.,,Есть,,,650 Вт,41.1 см,20.5 см,39.6 см,14 кг,Черный,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,Есть ,16 ГБ,,Midi-Tower ,,,1 шт.,,,,Есть,,,,,,,,,,,,,,,,,,
Компьютер MSI MEG Infinite X MS-B916 (9S6-B91661-1272),5.0,8.0,186 199 р.,,Китай,2 года,Windows 11 ,Intel ,Core i7-11700KF,3.6 ГГц ,5 ГГц,8 ,16 МБ,,,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,RTX 3070,GDDR6,,1000/100/10 Мбит/с,,2 шт.,3 шт.,5 шт.,1 шт.,,Есть,Есть,Вертикальное,,48.8 см,21 см,45 см,10 кг,Черный,,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,,8 ГБ,4,Midi-Tower ,,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,
