Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Компьютер HP ProDesk 405 G6 SFF (3D4Y9EC),,,124 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-hp-prodesk-405-g6-sff-3d4y9ec/,Китай,1 год,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 Pro 3400G,3.7 ГГц ,4.2 ГГц,4 ,,8 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,256 ГБ ,Интегрированная ,AMD ,Radeon RX Vega 11,,,1000/100/10 Мбит/с,,,1 шт.,2,2 шт.,,1 шт.,Есть,Nettop ,,180 Вт,9.5 см,27 см,30.3 см,3.9 кг,Черный,,Есть,Нет ,,,,,,,,,,4 МБ,,7 шт.,,,,,,,,,,,,,,,,,,,,,,Есть,Есть,,
Компьютер Dell Vostro 3888-9993,,,124 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-dell-vostro-3888-9993/,Китай,1 год,,Linux ,Intel ,Pentium Gold G6400,4 ГГц ,,2 ,4 МБ,8 ГБ ,16 ГБ,DDR4,2666 МГц,4 шт.,HDD ,1 ТБ ,Интегрированная ,Intel ,UHD Graphics 610,,,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,,1 шт.,Есть,Mini-Tower ,,260 Вт,32.4 см,15.4 см,29.3 см,7 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,Есть,4 шт.,,,,,,SD,,,,,,,,,,,,,,,,Есть,Есть,,
Компьютер MSI Pro DP21 11M-065RU (9S6-B0A411-065),,,124 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-msi-pro-dp21-11m-065ru-9s6-b0a411-065/,Китай,1 год,,Windows 10 Профессиональная x64 ,Intel ,Pentium Gold G6405,4.1 ГГц ,4.1 ГГц,2 ,,4 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,128 ГБ ,Интегрированная ,Intel ,UHD Graphics 610,,,1000/100/10 Мбит/с,,,1 шт.,,4 шт.,,1 шт.,,,,120 Вт,5.48 см,20.4 см,20.8 см,1.27 кг,Черный,,Есть,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,Есть,4 МБ,,,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,2 шт.,
Компьютер MSI Pro DP130 11-063XRU (9S6-B0A511-063),,,124 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-msi-pro-dp130-11-063xru-9s6-b0a511-063/,Китай,1 год,,Нет ,Intel ,Pentium Gold G6405,4.1 ГГц ,4.1 ГГц,2 ,,8 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 610,,,1000/100/10 Мбит/с,Есть,,1 шт.,1,6 шт.,,1 шт.,,,,350 Вт,9.7 см,34 см,43 см,5.43 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,Есть,4 МБ,,2 шт.,,,,Есть,,,,,,,Есть,,,,,,,,,,,Есть,Есть,1 шт.,
Игровой компьютер ASUS S500MC-310105027W,,,124 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-asus-s500mc-310105027w/,Китай,1 год,,Windows 11 Домашняя х64 ,Intel ,Core i3-10105,3.7 ГГц ,4.4 ГГц,4 ,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,Есть,1 шт.,3,4 шт.,,1 шт.,,,,500 Вт,36.78 см,16 см,31.89 см,5.9 кг,Черный,,Есть,,,,,,,,,,Есть,6 МБ,,2 шт.,,Есть,,Есть,Коррекция фактора мощности (PFC),,,,,,Есть,,,,,,,,,,,,,,
Игровой компьютер ASUS ROG Strix G10CE-71170F0210,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-asus-rog-strix-g10ce-71170f0210/,Китай,1 год,Есть ,Нет ,Intel ,Core i7-11700F,2.5 ГГц ,4.9 ГГц,8 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,,,2 шт.,6 шт.,1 шт.,Есть,Midi-Tower ,,500 Вт,42.8 см,18 см,43 см,8 кг,Серый,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,Есть,,
Игровой компьютер HP Omen 25L GT15-0001ur (674F4EA),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hp-omen-25l-gt15-0001ur-674f4ea/,Китай,1 год,Есть ,Windows 11 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,,DDR4,3200 МГц,,SSD ,1512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,2 шт.,1 шт.,,,,800 Вт,43.3 см,16.5 см,42.2 см,13.8 кг,Черный,8 шт.,,Нет ,,,,2 шт.,Вертикальное,1 ТБ,512 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HP Omen 40L GT21-0036ur (691M4EA),,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hp-omen-40l-gt21-0036ur-691m4ea/,Китай,1 год,Есть ,Нет ,Intel ,Core i7-12700F,3.6 ГГц ,4.9 ГГц,12 ,25 МБ,16 ГБ ,,DDR4,3467 МГц,,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,4 шт.,1 шт.,,,Есть,800 Вт,46.7 см,20.4 см,47 см,18.7 кг,Черный,10 шт.,,Нет ,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",2 шт.,Вертикальное,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Irbis CI P3025 /80A COMBO FX5,,,124 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-irbis-ci-p3025-80a-combo-fx5/,Россия,2 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MSI MEG Trident X 11TE-1693XRU,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-meg-trident-x-11te-1693xru/,Китай,2 года,Есть ,FreeDOS ,Intel ,Core i7-11700K,3.6 ГГц ,5 ГГц,8 ,16 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,HDD+SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,1000/100/10 Мбит/с,,,2 шт.,4,3 шт.,6 шт.,1 шт.,Есть,,Есть,750 Вт,41.039 см,13.706 см,39.657 см,7.15 кг,Черный,,,,Есть,Есть ,,1 шт.,,1 ТБ,1 ТБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MSI MEG Trident AS 11TC-2435XRU,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-meg-trident-as-11tc-2435xru/,Китай,2 года,Есть ,FreeDOS ,Intel ,Core i7-11700F,2.5 ГГц ,4.8 ГГц,8 ,16 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,SSD ,500 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,2 шт.,4,5 шт.,4 шт.,1 шт.,Есть,,,450 Вт,41.039 см,13.706 см,39.657 см,5.53 кг,Черный,,,,Есть,Есть ,,2 шт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MSI MEG Aegis Ti5 12VTJ-095RU,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-meg-aegis-ti5-12vtj-095ru/,Китай,2 года,Есть ,Windows 11 Профессиональная ,Intel ,Core i9-12900K,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,128 ГБ ,128 ГБ,DDR5,4400 МГц,4 шт.,HDD+SSD ,5 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3090,24 ГБ,GDDR6X,1000/100/10 Мбит/с,,,2 шт.,4,2 шт.,7 шт.,1 шт.,Есть,,Есть,850 Вт,51.1 см,23.9 см,55.1 см,15.6 кг,Черный,,,,Есть,Есть ,,3 шт.,,3 ТБ,2 ТБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Plus,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-plus/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,750 Вт,50.1 см,22.4 см,48.2 см,15 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,B660,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Max,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-max/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,50.1 см,22.4 см,48.2 см,15 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,Z690,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber 1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,64.7 см,23.2 см,62 см,20 кг,Серебристый,,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber 2 Black,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-2-black/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,64.7 см,23.2 см,62 см,20 кг,Черный,,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber Max 1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-max-1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,4800 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080 Ti,12 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,64.7 см,23.2 см,62 см,20 кг,Серебристый,,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,Z690,,,,,,,,,,,,
Игровой компьютер HYPERPC Cyber Max 2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-cyber-max-2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,4800 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080 Ti,12 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,64.7 см,23.2 см,62 см,20 кг,Черный,,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,Z690,,,,,,,,,,,,
Игровой компьютер HYPERPC Nano X Plus,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-nano-x-plus/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,,32 ГБ ,64 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,RTX 3070 Ti,8 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Mini-Tower ,Есть,850 Вт,30.7 см,19.4 см,43.5 см,15 кг,Серый,,,Нет ,,Есть ,IEEE 802.11ac,,Вертикальное,,,,,12 МБ,,,,,,,Материнская плата: ASRock B660M-ITX/ac,,M.2,,,,,Intel,B660,,,2 шт.,,,,,,,,,256 бит
Игровой компьютер HYPERPC Nano X Max,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-nano-x-max/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,64 ГБ,DDR5,4800 МГц,2 шт.,SSHD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,30.7 см,19.4 см,43.5 см,15 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,B660,,,,,,,,,,,,
Игровой компьютер HYPERPC Epix Pro,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-epix-pro/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSHD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,750 Вт,41.6 см,21 см,47.7 см,15 кг,Черный,,,,,,,,Горизонтальное,,,,,,,,,,"Пластик, Сталь",,,,M.2,,Есть,,,Intel,B660,,,,,,,,,,,,
Игровой компьютер HYPERPC Epix Pro Plus,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-epix-pro-plus/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSHD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,750 Вт,41.6 см,21 см,47.7 см,15 кг,Черный,,,,,,,,Горизонтальное,,,,,12 МБ,,,,,"Пластик, Сталь",,,,M.2,,Есть,,,Intel,B660,,,,,,,,,,,,
Игровой компьютер HYPERPC Epix Pro Max,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-epix-pro-max/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,41.6 см,21 см,47.7 см,15 кг,Черный,,,,,,,,Горизонтальное,,,,,12 МБ,,,,,"Пластик, Сталь",,,,M.2,,Есть,,,Intel,B660,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Pro Plus,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-pro-plus/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,750 Вт,50.1 см,22.4 см,48.2 см,20 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,B660,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Pro Max,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-pro-max/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,4800 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,50.1 см,22.4 см,48.2 см,20 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,M.2,,Есть,,,Intel,Z690,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Pro M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-pro-m1/,Россия,1 год,Есть ,Windows 11 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,,,,2 шт.,1,2 шт.,,,,Mini-Tower ,,750 Вт,36.5 см,18.8 см,35.8 см,15 кг,Черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt Pro M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-pro-m1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700F,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR5,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,850 Вт,59.5 см,23.8 см,67.3 см,20 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,12 МБ,,,,,Алюминий,,,,,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt Plus Pro M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-plus-pro-m1/,Россия,1 год,Есть ,Windows 11 Домашняя ,AMD ,Ryzen 9 5900X,3.7 ГГц ,4.8 ГГц,12 ,64 МБ,64 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080 Ti,12 ГБ,GDDR6X,,,,1 шт.,1,2 шт.,,,,Midi-Tower ,Есть,1000 Вт,59.5 см,23.8 см,67.3 см,25 кг,"Серебристый, Черный",,,,,,,,Горизонтальное,,,,,6 МБ,,,,,Алюминий,,,,,,Есть,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt Plus Pro M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-max-pro-m1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-m1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,24 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,1000/100/10 Мбит/с,,,1 шт.,1,,,,,Full-Desktop ,Есть,850 Вт,59.5 см,23.8 см,67.3 см,20 кг,Серый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-m1/,Россия,1 год,Есть ,Windows 11 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,,,,1 шт.,1,,,,,,,750 Вт,36.5 см,18.8 см,35.8 см,15 кг,Серебристый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt M2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-m2/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,Full-Desktop ,Есть,850 Вт,59.5 см,23.8 см,67.3 см,20 кг,Серый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt Plus M1,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-plus-m1/,Россия,1 год,Есть ,Windows 11 Домашняя х64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,64 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,Full-Desktop ,Есть,850 Вт,59.5 см,23.8 см,67.3 см,20 кг,Серый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Volt Plus M2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-volt-plus-m2/,Россия,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i7-12700KF,2.7 ГГц ,5 ГГц,12 ,25 МБ,64 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,10 ГБ,GDDR6X,,,,1 шт.,1,,,,,Full-Desktop ,Есть,850 Вт,59.5 см,23.8 см,67.3 см,20 кг,Черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Plus M2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-plus-m2/,Россия,1 год,Есть ,Windows 11 Домашняя ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,30 МБ,32 ГБ ,128 ГБ,DDR4,3600 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,,,,1 шт.,1,,,,,,Есть,750 Вт,43.7 см,20.4 см,42.6 см,15 кг,"Серебристый, Черный",,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер HYPERPC Lumen Max M2,,,124 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-hyperpc-lumen-max-m2/,Россия,1 год,Есть ,Windows 11 Домашняя ,Intel ,Core i7-13700KF,2.5 ГГц ,5.4 ГГц,16 ,30 МБ,32 ГБ ,,DDR5,5200 МГц,2 шт.,SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070 Ti,8 ГБ,,,,,1 шт.,1,2 шт.,,,,,Есть,850 Вт,43.7 см,20.4 см,42.6 см,20 кг,"Серебристый, Черный",,,,,,,,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
