Мощность сабвуфера,Операционная система,Цифровое шумоподавление,Цвет,Поддержка NFC,Количество отзывов,Размер VESA,Название,Вес без подставки,Время отклика пикселя,Разъем для наушников,Яркость экрана,Соотношение сторон,Акустическая схема,Рейтинг,Цена,Встроенный Wi-Fi,Объем оперативной памяти,Гарантия,Прогрессивная развертка,Страна производитель,Разрешение,Встроенный сабвуфер,Тип панели,Таймер включения/выключения,Управление со смартфона,Встроенный Bluetooth,Контрастность,Поддержка HDR,Диагональ,Объем встроенной памяти,Телетекст,Частота обновления,Родительский контроль
0,0,0.0,0,0.0,0.0,14,"31.5"" telefunken tf-led32s02t2\h",0.0,0.0,0.0,0.0,0,0,0.0,8190.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,2.0,14,"50"" kivi 50u750nb",0.0,0.0,0.0,0.0,0,0,4.5,32990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"65"" grundig 65ggu7900b",0.0,0.0,0.0,0.0,0,0,0.0,86990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"32"" kivi 32f750nb",0.0,0.0,0.0,0.0,0,0,5.0,17990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,3,"55"" bbk 55lex-8387/uts2c",0.0,0.0,0.0,0.0,0,0,0.0,25990.0,0.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,2.0,9,"65"" haier smart tv s3",16.0,0.0,0.0,0.0,0,0,5.0,54990.0,0.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0,0.0,2.0,8,"43"" kivi 43f750nb",0.0,0.0,1.0,0.0,0,4,4.5,22990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"65"" grundig 65ggu8960",0.0,0.0,0.0,0.0,0,0,5.0,84990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,3,"55"" samsung ue55bu8500uxce",14.7,0.0,0.0,0.0,0,4,5.0,86990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,3,"55"" samsung ue55bu8000uxce",14.7,0.0,0.0,0.0,0,4,4.0,69990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"65"" samsung qe65q70bauxce",0.0,0.0,0.0,0.0,0,0,0.0,153590.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"55"" lg 55up81006la.adgg",0.0,0.0,0.0,0.0,0,0,0.0,47990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"42"" telefunken tf-led42s14t2s(черный)\y\h",0.0,0.0,0.0,0.0,0,0,0.0,17950.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
