Цена,Акустическая схема,Таймер включения/выключения,Разъем для наушников,Встроенный сабвуфер,Прогрессивная развертка,Вес без подставки,Время отклика пикселя,Гарантия,Разрешение,Поддержка NFC,Управление со смартфона,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка HDR,Контрастность,Размер VESA,Телетекст,Яркость экрана,Мощность сабвуфера,Частота обновления,Родительский контроль,Диагональ,Страна производитель,Операционная система,Название,Соотношение сторон,Объем встроенной памяти,Объем оперативной памяти,Рейтинг,Количество отзывов,Тип панели,Цвет,Цифровое шумоподавление
224990.0,2,0.0,1.0,1.0,1.0,38.5,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,9,1.0,0.0,20,0.0,1.0,0.0,0,5,"75"" hisense 75u8hq",0,0.0,0.0,5.0,10.0,6,0,1.0
13690.0,0,0.0,0.0,0.0,1.0,5.7,9.5,12.0,2,0.0,0.0,0.0,0.0,0.0,5000,3,1.0,220.0,0,60.0,1.0,102.0,2,0,"40"" starwind sw-led40bg200",1,8.0,1.0,4.8,6.0,3,0,1.0
23090.0,0,0.0,0.0,0.0,0.0,9.94,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,0,"50"" hyundai h-led50fu7004",0,0.0,0.0,3.5,5.0,6,0,0.0
12990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"24"" lg 24lp451v-pz.arub",0,0.0,0.0,0.0,7.0,6,0,0.0
9490.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,"32"" bbk 32lem-1088/ts2c",0,0.0,0.0,0.0,1.0,6,0,0.0
11540.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"40"" sunwind sun-led40b12",0,0.0,0.0,3.8,10.0,6,0,0.0
17690.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" starwind sw-led43ug401",0,0.0,0.0,5.0,12.0,6,0,0.0
10590.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"31.5"" telefunken tf-led32s18t2s(черный)\h",0,0.0,0.0,0.0,22.0,6,0,0.0
57990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" samsung qe43q60bauxce",0,0.0,0.0,5.0,12.0,6,0,0.0
217590.0,0,0.0,0.0,1.0,0.0,17.7,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,20,0.0,1.0,0.0,0,4,"55"" samsung qe55qn90bauxce",0,0.0,0.0,5.0,1.0,6,0,0.0
9390.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"32"" starwind sw-led32bg200",0,0.0,0.0,4.3,10.0,6,0,0.0
13010.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"32"" polarline 32pl53tc-sm",0,0.0,0.0,0.0,14.0,6,0,0.0
89990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" philips 65pus8507/60",0,0.0,0.0,5.0,21.0,6,0,0.0
24990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"32"" grundig 32ggh6900b",0,0.0,0.0,0.0,9.0,6,0,0.0
11390.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"32"" sunwind sun-led32xs311",0,0.0,0.0,5.0,6.0,6,0,0.0
44990.0,4,0.0,0.0,0.0,0.0,8.1,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,0.0,0.0,0,0,"43"" samsung ue43bu8000uxce",0,0.0,0.0,5.0,16.0,6,0,0.0
47990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"50"" lg 50uq80006lb.adkg",0,0.0,0.0,0.0,12.0,6,0,0.0
39990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" grundig 43gfu7800b",0,0.0,0.0,0.0,11.0,6,0,0.0
10500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"32"" hyundai h-led32bs5001",0,0.0,0.0,5.0,10.0,6,0,0.0
20070.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" polarline 43pu11tc-sm",0,0.0,0.0,5.0,7.0,6,0,0.0
15990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"28"" lg 28ln525v-pz.arub",0,0.0,0.0,0.0,17.0,6,0,0.0
149999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" samsung qe65qn85bauxce",0,0.0,0.0,5.0,9.0,6,0,0.0
16800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" hyundai h-led43bs5001",0,0.0,0.0,5.0,6.0,6,0,0.0
59990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"50"" samsung ue50bu8500uxce",0,0.0,0.0,0.0,13.0,6,0,0.0
9190.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"24"" polarline 24pl12tc",0,0.0,0.0,4.6,5.0,6,0,0.0
38990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"43"" lg 43up75006lf",0,0.0,0.0,4.5,18.0,6,0,0.0
119990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"75"" samsung ue75bu8000uxce",0,0.0,0.0,0.0,10.0,6,0,0.0
49990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"55"" lg 55uq76003ld.adkg",0,0.0,0.0,5.0,11.0,6,0,0.0
