Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
25,36.0,480.0,0.0,60190,4.0,7.0,игровой компьютер robotcomp f-22 raptor v3 plus,8,0.0,0.0,500.0,0.0,16,32.0,0.0
81,36.0,0.0,0.0,101190,12.0,5.0,игровой компьютер robotcomp борей v2 white,8,0.0,0.0,700.0,0.0,25,16.0,0.0
81,36.0,0.0,0.0,106890,12.0,7.0,игровой компьютер robotcomp борей v2 plus white,8,0.0,0.0,700.0,0.0,25,32.0,0.0
81,36.0,0.0,0.0,106490,12.0,6.0,игровой компьютер robotcomp борей v3 white,8,0.0,0.0,700.0,0.0,25,16.0,0.0
81,36.0,0.0,0.0,112190,12.0,-2.0,игровой компьютер robotcomp борей v3 plus white,8,0.0,0.0,700.0,0.0,25,32.0,0.0
25,36.0,480.0,0.0,46990,4.0,11.0,игровой компьютер robotcomp f-22 raptor white,4,0.0,0.0,500.0,0.0,16,16.0,0.0
25,36.0,480.0,0.0,51190,4.0,12.0,игровой компьютер robotcomp f-22 raptor plus white,4,0.0,0.0,500.0,0.0,16,32.0,0.0
25,36.0,480.0,0.0,50790,4.0,-7.0,игровой компьютер robotcomp f-22 raptor v2 white,8,0.0,0.0,500.0,0.0,16,16.0,0.0
25,36.0,480.0,0.0,54890,4.0,11.0,игровой компьютер robotcomp f-22 raptor v2 plus white,8,0.0,0.0,500.0,0.0,16,32.0,0.0
25,36.0,480.0,0.0,56190,4.0,12.0,игровой компьютер robotcomp f-22 raptor v3 white,8,0.0,0.0,500.0,0.0,16,16.0,0.0
25,36.0,480.0,0.0,60190,4.0,12.0,игровой компьютер robotcomp f-22 raptor v3 plus white,8,0.0,0.0,500.0,0.0,16,32.0,0.0
10,36.0,480.0,0.0,30890,6.0,3.0,компьютер robotcomp аллигатор v1,9,0.0,0.0,400.0,0.0,64,16.0,0.0
10,36.0,480.0,0.0,34290,6.0,9.0,компьютер robotcomp аллигатор plus,4,0.0,0.0,400.0,0.0,2,32.0,0.0
10,36.0,480.0,0.0,32490,6.0,6.0,компьютер robotcomp аллигатор v2,8,0.0,0.0,400.0,0.0,2,16.0,0.0
25,0.0,0.0,0.0,32490,0.0,2.0,компьютер robotcomp аллигатор v2,0,0.0,0.0,0.0,0.0,55,0.0,0.0
10,36.0,480.0,0.0,37790,6.0,4.0,компьютер robotcomp аллигатор v3,8,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,46990,6.0,3.0,компьютер robotcomp аллигатор v3 plus,8,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,30890,6.0,16.0,компьютер robotcomp аллигатор v1 белый,4,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,34290,6.0,11.0,компьютер robotcomp аллигатор v1 plus white,4,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,38190,6.0,10.0,компьютер robotcomp аллигатор v2 plus white,8,0.0,0.0,400.0,0.0,2,32.0,0.0
10,36.0,480.0,0.0,37790,6.0,10.0,компьютер robotcomp аллигатор v3 white,8,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,46990,6.0,26.0,компьютер robotcomp аллигатор v3 plus white,8,0.0,0.0,400.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,32690,6.0,13.0,компьютер robotcomp аллигатор 2.0,4,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,38390,6.0,-2.0,компьютер robotcomp аллигатор 2.0 plus,4,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,36590,6.0,7.0,компьютер robotcomp аллигатор 2.0 v2,8,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,42190,6.0,0.0,компьютер robotcomp аллигатор 2.0 v2 plus,8,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,41890,6.0,0.0,компьютер robotcomp аллигатор 2.0 v3,8,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,47490,6.0,0.0,компьютер robotcomp аллигатор 2.0 v3 plus,8,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,44390,6.0,0.0,компьютер robotcomp аллигатор 3.0,4,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,55690,6.0,0.0,компьютер robotcomp аллигатор 3.0 plus,4,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,0.0,0.0,48190,6.0,0.0,компьютер robotcomp аллигатор 3.0 v2,8,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,59390,6.0,0.0,компьютер robotcomp аллигатор 3.0 v2 plus,8,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,0.0,0.0,53490,6.0,0.0,компьютер robotcomp аллигатор 3.0 v3,8,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,64690,6.0,0.0,компьютер robotcomp аллигатор 3.0 v3 plus,8,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,480.0,0.0,32690,6.0,0.0,компьютер robotcomp аллигатор 2.0 white,4,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,39990,6.0,0.0,компьютер robotcomp аллигатор 2.0 plus white,4,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,36590,6.0,0.0,компьютер robotcomp аллигатор 2.0 v2 white,8,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,42190,6.0,0.0,компьютер robotcomp аллигатор 2.0 plus v2 white,8,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,41890,6.0,0.0,компьютер robotcomp аллигатор 2.0 v3 white,8,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,47490,6.0,0.0,компьютер robotcomp аллигатор 2.0 plus v3 white,8,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,44390,6.0,0.0,компьютер robotcomp аллигатор 3.0 white,4,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,55690,6.0,0.0,компьютер robotcomp аллигатор 3.0 plus white,4,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,0.0,0.0,48190,6.0,0.0,компьютер robotcomp аллигатор 3.0 v2 white,8,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,59390,6.0,0.0,компьютер robotcomp аллигатор 3.0 plus v2 white,8,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,0.0,0.0,53490,6.0,0.0,компьютер robotcomp аллигатор 3.0 v3 white,8,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,64690,6.0,0.0,компьютер robotcomp аллигатор 3.0 plus v3 white,8,0.0,0.0,600.0,0.0,2,64.0,0.0
46,36.0,480.0,0.0,49290,4.0,0.0,игровой компьютер robotcomp m-16,4,0.0,0.0,600.0,0.0,16,16.0,0.0
46,36.0,480.0,0.0,54990,4.0,0.0,игровой компьютер robotcomp m-16 plus,4,0.0,0.0,600.0,0.0,16,32.0,0.0
46,36.0,480.0,0.0,53190,4.0,0.0,игровой компьютер robotcomp m-16 v2,8,0.0,0.0,600.0,0.0,16,16.0,0.0
46,36.0,480.0,0.0,58890,4.0,0.0,игровой компьютер robotcomp m-16 v2 plus,8,0.0,0.0,600.0,0.0,16,32.0,0.0
46,36.0,480.0,0.0,58490,4.0,0.0,игровой компьютер robotcomp m-16 v3,8,0.0,0.0,600.0,0.0,16,16.0,0.0
57,36.0,960.0,0.0,69790,6.0,0.0,игровой компьютер robotcomp m-16 2.0,4,0.0,0.0,600.0,0.0,19,16.0,0.0
57,36.0,960.0,0.0,75490,6.0,0.0,игровой компьютер robotcomp m-16 2.0 plus,4,0.0,0.0,600.0,0.0,19,32.0,0.0
57,36.0,960.0,0.0,73590,6.0,0.0,игровой компьютер robotcomp m-16 2.0 v2,8,0.0,0.0,600.0,0.0,19,16.0,0.0
57,36.0,960.0,0.0,79290,6.0,0.0,игровой компьютер robotcomp m-16 2.0 v2 plus,8,0.0,0.0,600.0,0.0,19,32.0,0.0
57,36.0,960.0,0.0,78890,6.0,0.0,игровой компьютер robotcomp m-16 2.0 v3,8,0.0,0.0,600.0,0.0,19,16.0,0.0
57,36.0,960.0,0.0,84590,6.0,0.0,игровой компьютер robotcomp m-16 2.0 v3 plus,8,0.0,0.0,600.0,0.0,19,32.0,0.0
57,36.0,960.0,0.0,79590,6.0,0.0,игровой компьютер robotcomp m-16 3.0,4,0.0,0.0,600.0,0.0,24,16.0,0.0
57,36.0,960.0,0.0,85290,6.0,0.0,игровой компьютер robotcomp m-16 3.0 plus,4,0.0,0.0,600.0,0.0,24,32.0,0.0
57,36.0,960.0,0.0,83490,6.0,0.0,игровой компьютер robotcomp m-16 3.0 v2,8,0.0,0.0,600.0,0.0,24,16.0,0.0
